Date,Open,High,Low,Close,Adj Close,Volume,Maturity Month,Maturity Year,Maturity Date
"Jul 25, 2023",507,508.5,503,503,503,62,12,25,12/15/2025
"Jul 24, 2023",498,507,497,506.25,506.25,210,12,25,12/15/2025
"Jul 21, 2023",497.5,500,495,495.25,495.25,47,12,25,12/15/2025
"Jul 20, 2023",503.75,507.25,500,500.75,500.75,99,12,25,12/15/2025
"Jul 19, 2023",498.5,508.5,498,505.5,505.5,270,12,25,12/15/2025
"Jul 18, 2023",486,500,486,499,499,56,12,25,12/15/2025
"Jul 17, 2023",495,498.5,487.5,487.5,487.5,71,12,25,12/15/2025
"Jul 14, 2023",486.25,494.75,486.25,493.75,493.75,148,12,25,12/15/2025
"Jul 13, 2023",480,486,480,486,486,58,12,25,12/15/2025
"Jul 12, 2023",485,485,476,476,476,36,12,25,12/15/2025
"Jul 11, 2023",483.5,483.5,483.5,483.5,483.5,35,12,25,12/15/2025
"Jul 10, 2023",480.25,480.5,478,479.75,479.75,24,12,25,12/15/2025
"Jul 07, 2023",477.75,479.75,475.25,475.75,475.75,45,12,25,12/15/2025
"Jul 06, 2023",473.75,480.25,473.75,480.25,480.25,42,12,25,12/15/2025
"Jul 05, 2023",472,474.25,468.75,474.25,474.25,48,12,25,12/15/2025
"Jul 03, 2023",471,475,468,472,472,49,12,25,12/15/2025
"Jun 30, 2023",480,485,468,471,471,207,12,25,12/15/2025
"Jun 29, 2023",481.75,484.5,475,475,475,26,12,25,12/15/2025
"Jun 28, 2023",475.5,481.75,475.25,479.25,479.25,131,12,25,12/15/2025
"Jun 27, 2023",490,490,478.25,483,483,105,12,25,12/15/2025
"Jun 26, 2023",487.5,496,487.5,493,493,23,12,25,12/15/2025
"Jun 23, 2023",502,505,488.5,491.5,491.5,244,12,25,12/15/2025
"Jun 22, 2023",510,515,505,507,507,94,12,25,12/15/2025
"Jun 21, 2023",500,512.25,499,511.25,511.25,537,12,25,12/15/2025
"Jun 20, 2023",500,501,498,501,501,87,12,25,12/15/2025
"Jun 16, 2023",496,501.5,494.25,501.5,501.5,162,12,25,12/15/2025
"Jun 15, 2023",491.75,496.5,490.75,496.5,496.5,29,12,25,12/15/2025
"Jun 14, 2023",485.25,492,484.75,487,487,79,12,25,12/15/2025
"Jun 13, 2023",482.5,487.5,482.5,485.25,485.25,30,12,25,12/15/2025
"Jun 12, 2023",484,484,481.75,481.75,481.75,10,12,25,12/15/2025
"Jun 09, 2023",481.75,481.75,475,475,475,13,12,25,12/15/2025
"Jun 08, 2023",474,480.5,473.75,480.5,480.5,20,12,25,12/15/2025
"Jun 07, 2023",480,480,476,476,476,5,12,25,12/15/2025
"Jun 06, 2023",481.75,484.25,476.5,480.25,480.25,38,12,25,12/15/2025
"Jun 05, 2023",481.25,482.5,476.5,481.25,481.25,29,12,25,12/15/2025
"Jun 02, 2023",480,484.75,475,481.5,481.5,24,12,25,12/15/2025
"Jun 01, 2023",475,481.25,474.5,479.25,479.25,34,12,25,12/15/2025
"May 31, 2023",475,475,468,473.25,473.25,16,12,25,12/15/2025
"May 30, 2023",477,477,472,475,475,43,12,25,12/15/2025
"May 26, 2023",475.25,480.5,475.25,479.5,479.5,17,12,25,12/15/2025
"May 25, 2023",472.5,472.75,471,471.5,471.5,5,12,25,12/15/2025
"May 24, 2023",474.5,479.25,472,474,474,37,12,25,12/15/2025
"May 23, 2023",471.5,475,471.5,473.75,473.75,21,12,25,12/15/2025
"May 22, 2023",468.5,471.75,468,470.75,470.75,105,12,25,12/15/2025
"May 19, 2023",465.5,470.25,464,465.75,465.75,19,12,25,12/15/2025
"May 18, 2023",460.5,464.5,460,464.25,464.25,34,12,25,12/15/2025
"May 17, 2023",466.75,466.75,460.5,462.75,462.75,49,12,25,12/15/2025
"May 16, 2023",473,473,464.25,467.75,467.75,48,12,25,12/15/2025
"May 15, 2023",471.5,472.5,471.5,471.5,471.5,15,12,25,12/15/2025
"May 12, 2023",471.25,473.25,465.5,468,468,144,12,25,12/15/2025
"May 11, 2023",472.5,472.5,471.5,471.75,471.75,17,12,25,12/15/2025
"May 10, 2023",478.5,478.5,476.25,477,477,5,12,25,12/15/2025
"May 09, 2023",476.25,477,473.75,476.25,476.25,49,12,25,12/15/2025
"May 08, 2023",480,481.75,477.25,477.25,477.25,20,12,25,12/15/2025
"May 05, 2023",481.5,485,481.5,481.5,481.5,24,12,25,12/15/2025
"May 04, 2023",484.5,484.5,480,481.25,481.25,21,12,25,12/15/2025
"May 03, 2023",480,483,478,482.5,482.5,66,12,25,12/15/2025
"May 02, 2023",486,486,480,480,480,34,12,25,12/15/2025
"May 01, 2023",484.5,486,482,485,485,11,12,25,12/15/2025
"Apr 28, 2023",484,490,484,487,487,14,12,25,12/15/2025
"Apr 27, 2023",484.5,486.25,483.75,484.5,484.5,8,12,25,12/15/2025
"Apr 26, 2023",488.75,488.75,486.5,486.5,486.5,3,12,25,12/15/2025
"Apr 25, 2023",487.5,490.75,485,490.75,490.75,11,12,25,12/15/2025
"Apr 24, 2023",488.5,492,486,491.75,491.75,19,12,25,12/15/2025
"Apr 21, 2023",492.5,492.5,487.25,488.5,488.5,45,12,25,12/15/2025
"Apr 20, 2023",496.5,496.5,492.5,494.5,494.5,126,12,25,12/15/2025
"Apr 19, 2023",499,499,496.75,496.75,496.75,7,12,25,12/15/2025
"Apr 18, 2023",497.75,498,497,498,498,22,12,25,12/15/2025
"Apr 17, 2023",495,497.25,495,497.25,497.25,11,12,25,12/15/2025
"Apr 14, 2023",488.75,495,488.75,493,493,61,12,25,12/15/2025
"Apr 13, 2023",487,487,487,487,487,-,12,25,12/15/2025
"Apr 12, 2023",487.25,487.75,487.25,487.75,487.75,8,12,25,12/15/2025
"Apr 11, 2023",489.5,489.5,489.25,489.25,489.25,3,12,25,12/15/2025
"Apr 10, 2023",483.75,489.75,483.75,489.75,489.75,2,12,25,12/15/2025
"Apr 06, 2023",486.25,487,485.5,487,487,-,12,25,12/15/2025
"Apr 05, 2023",485,486.75,485,486.25,486.25,4,12,25,12/15/2025
"Apr 04, 2023",484.5,484.5,484.5,484.5,484.5,2,12,25,12/15/2025
"Apr 03, 2023",491.75,491.75,487.75,487.75,487.75,18,12,25,12/15/2025
